,code,description,disciplinary course(s),consecutive course(s),faculty,cancel_course
265,es316,industrial waste problems and environmental impacts  type and characteristic of industrial wastes dispersion industrial pollution prevention and waste minimization basic concepts and overview in catalytic process for the conversion of waste into fuels and chemicals surface chemistry type of catalysts structure and properties synthesis method characterization techniques catalytic reactor kinetics and mechanism of reaction,[],[],sci,[]
266,es329,energy resources development and utilization of energy energy conservation environmental problems from energy utilization air pollution noise pollution energy crisis and economic politic in local and other countries and field trip,[],[],sci,[]
267,es337,importance and definitions of safety system safety control and accidental prevention in workplace factors affecting work safety injury and accident from occupation safety control and measures safety laws and standards safety personnel management techniques and preventive measures including field trip,[],[],sci,[]
268,es346,characteristics of airborne contaminants contaminant dilution local exhaust systems ventilation designs for duct hood and fan calculations of total pressure velocity pressure and static pressure ventilation monitoring standards and regulations in workplace ventilation,[],[],sci,[]
269,es349,principles and their application for sustainable development by cleaner technology for minimize pollution release to the environment including the technology selection for zero waste and pollution focusing on industry and energy section and field trip,[],[],sci,[]
270,es353,the physical and chemical properties of soil factors influencing the soil fertility the soil organisms functions organic matter and nutrient cycles and field trip,['disciplinary course(s): sc122'],[],sci,['sc122']
271,es355,principles and their application for sustainable management of natural resources including the ecosystem management and the process of rehabilitation and restoration of the currently threatened deteriorated or disturbed,['disciplinary course(s): es201'],[],sci,['es201']
272,es356,principle and methods in eco-tourism management in concept of art-culture nature and agro tourism and field trip,[],[],sci,[]
277,es376,information and publicity on development projects strategies to involve the public in the perception sharing and decision-making processes of different types of development projects to achieve environmental objectives and the acceptance of all parties involved,[],[],sci,[]
278,es377,the relationship between human creativity in different cultures and the geographical environment reflected through the physical and functional aspects of urban space identity value and importance of urban heritage and landscape planning to maintain the cultural landscape is consistent with the current natural and cultural environment of society laws related to the conservation and restoration of cities and urban landscapes and field trip,[],[],sci,[]
280,es401,environmental impact assessment (eia) techniques procedures and methodologies for various development projects including scoping prediction assessment public rearing economic evaluation and eia report preparations plus mitigation measure  conflict management appropriate monitoring plans,['disciplinary course(s): es201'],['consecutive course(s): es479'],sci,"['es201', 'es479']"
281,es402,principles of environmental law about pollution control in case of water air and land includes its importance,['disciplinary course(s): es201 or\nes211'],[],sci,"['es201', 'es211']"
282,es412,sources and problems of water pollution chemical compounds in waste water the impact of water pollution on the environment waste water control and treatment system policy and measures in solving water pollution problems and field trip,['disciplinary course(s): es312'],[],sci,['es312']
283,es413,types of hazardous waste industrial waste and environmental impacts control and disposal technology study in hazardous waste management including transportation incineration stabilization solidification land-fill and also site remediation,['disciplinary course(s): es313'],[],sci,['es313']
285,es466,the study will cover the topics on coastal resources physical and biological factors influencing resources in the coastal areas impacts from coastal resources utilization either directly or indirectly will be clarify the application of coastal conservation and sustainable development on the coastal zone will also be focus field trip is also necessary for additional experience,[],[],sci,[]
286,es469,concepts criteria and methods for preserving cultural heritage it is abstract and concrete focusing on different types of art at international level through the convention on the protection of world heritage and associated charter for cultural inheritance in the country at the micro level by using the scientific method at the macro level the policy and urban planning measures both theoretical and field studies,[],[],sci,[]
287,es478,the coastline estuaries lagoons coastal wetlands and fringing coral reefs impacts on coastal ecosystems biological diversity tourism revenues and community security reduce the deterioration results to the coastal areas the course presents the process of integrated coastal zone management (iczm),[],[],sci,[]
288,es486,a comparative of thai and foreign environmental protection policies the efficient set up of goals and measures ecological development development without environmental destruction techniques of solving conflictive concerning policy set up in various aspects of national development coordination of environmental policy with other policies evaluate the impact of environmental policies and mitigation measure,[],[],sci,[]
289,es487,concepts life cycle assessment phrases in life cycle assessment life cycle assessment framework life cycle assessment application environmental interventions steps in life cycle impact assessment impact categories damage categories case study and simple life cycle assessment,[],[],sci,[]
290,es491,carrying out a research relative to environmental problems under the supervision of research advisor and co-advisor(s) (if applicable) either internal or international issue starting from identifying the problem composting the proposal handling the research analyzing the data writing the report and presenting the research,['disciplinary course(s): es211'],[],sci,['es211']
292,fd211,human food sources and requirement food composition properties changes and deterioration of food unit operation in food industry principles and methods of food processing quality assurance and evaluation food packaging product development food sanitation remark : students from the department of food science and technology can enroll in the course but the credits cannot be earned,['disciplinary course(s): หมายเหตุ : นักศึกษาในภาmaวิชาวิทยาศาstตร์และเทmaโนโลยีการอาหารstามารถศึกษาวิชานี้ได้แต่ไม่stามารถนับ หน่วยกิตได้ remark : students from the department of food science and technology can enroll in the course but the credits cannot be earned'],[],sci,[]
293,fd216,composition change and deterioration of food principle of food preservation and processing in industrial-scale manufacturing pasteurization sterilization uht dehydrated food chilled and frozen foods and fermented food food packaging food quality assurance and evaluation food product labeling and product development,['disciplinary course(s): นักศึกษาstาขาวิชาวิทยาศาstตร์และเทmaโนโลยีการอาหารไม่stามารถนับหน่วยกิตได้'],[],sci,[]
295,fd217,significance and categories of food industry principles of food safety management monitoring of food quality and safety standard of food industry processing of food products from meat dairy fishery cereal vegetable and fruit at the industrial-scale manufacturing,['disciplinary course(s): นักศึกษาในstาขาวิชาวิทยาศาstตร์และเทmaโนโลยีการอาหารstามารถศึกษาวิชานี้ได้ แต่ไม่stามารถนับหน่วยกิตได้'],[],sci,[]
297,fd271,digestive mechanism macronutrients and micronutrients and their metabolism in human body nutrient interaction nutritive and energy requirement of individual according to gender age career and health influence of ethnic culture and eating behavior related to nutritional status application of food technology to solve nutritional problem nutritional food labeling,['disciplinary course(s): sc113'],[],sci,['sc113']
298,fd281,introductory physical and chemical properties of packaging materials made of paper glass metal and plastic manufacturing and forming process of packaging food packaging machineries packaging for food products,['consecutive course(s): fd486'],[],sci,['fd486']
299,fd291,intellectual property and management information retrieval including patent and research paper patent and petty patent drafting plagiarism and its consequences creative and critical thinking group presentation,['consecutive course(s): fd391'],[],sci,['fd391']
300,fd311,concept scope and roles of quality control and quality assurance through food supply chain sampling plan statistical techniques for food quality control quality control system good manufacturing practice (gmp) chemical physical and biological hazards hazard analysis and critical control point (haccp) food defense iso series quality management field trips,['disciplinary course(s): fd321 and fd341'],"['consecutive course(s): fd416, fd417, fd421, fd432']",sci,"['fd321', 'fd341', 'fd416', 'fd417', 'fd421', 'fd432']"
302,fd312,principle and measurement of physical properties of raw material and food products evaluation of sensory qualities relationship between physical properties and sensory qualities basic principle in evaluating shelf life of food products,[],[],sci,[]
305,fd342,fundamental of food preservation and processing including thermal processing chilling freezing dehydration irradiation fermentation concentration and use of food additives effects of processing methods on quality and storage of finished products role of cleaner technology for food industry emerging technology of food processing field trips,['disciplinary course(s): fd341'],"['consecutive course(s): fd436, fd467, fd491, fd492, fd493']",sci,"['fd341', 'fd436', 'fd467', 'fd491', 'fd492', 'fd493']"
307,fd343,processing technology to produce food and beverage products from plant animal microorganism and selective food materials field trips,['disciplinary course(s): fd341'],[],sci,['fd341']
309,fd345,unit operation in food engineering and application of important food engineering principle to thermal food processing refrigeration freezing drying concentration size reduction extraction distillation filtration and fluidization,['disciplinary course(s): fd344'],[],sci,['fd344']
311,fd372,composition structure and properties of food color flavoring agent and food additives analysis of food using spectroscopy fluorometry atomic absorption spectroscopy gas chromatography and high performance liquid chromatography techniques,['disciplinary course(s): fd371'],"['consecutive course(s): fd491, fd492, fd493']",sci,"['fd371', 'fd491', 'fd492', 'fd493']"
313,fd417,food safety in food industries good manufacturing practices (gmp) and basic principle of food sanitation management implementation steps of hazard analysis critical control point (haccp) system hazard analysis establishment of critical control points and critical limit indicating of methods for monitoring verification recording and reporting system audit field trips,['disciplinary course(s): fd311'],[],sci,['fd311']
314,fd426,types of fermentation process fermentation kinetics bioreactor design and types applications of microorganism and enzymes used in beer wine vinegar soy sauce soy paste dairy products amino acid indigenous foods and other fermented foods packaging for fermented foods fermentation and purification technology employed for value added products business in fermented food field trips,['disciplinary course(s): fd321'],[],sci,['fd321']
315,fd432,plant layout to increase production efficiency and to meet gmp requirements factory act and related environment legislations production quality and inventory management material handling in food plant energy conservation production and labor planning business ethics and social responsibility current management technology and case studies,['disciplinary course(s): fd311'],[],sci,['fd311']
316,fd437,role and importance of sensory evaluation in food industries sensory attribute and perception conducting a sensory test factors influencing sensory verdicts selection and training of sensory panelists sensory evaluation tests and guidelines for choice of test for a particular applicationexperimental design and statistical analysis for sensory evaluation guidelines for reporting sensory results field trip,[],[],sci,[]
317,fd449,physical chemical and microbiological properties and changes of milk and milk constituents quality inspection of raw milk processing and quality evaluation of dairy products product deterioration and storage utilization of waste and by-products dairy business field trips,['disciplinary course(s): fd341 and fd371'],[],sci,"['fd341', 'fd371']"
318,fd456,physical and chemical properties of ingredients and their functions in bakery products bakery processes deterioration of bakery products bakery business field trips,['disciplinary course(s): fd341 and fd371'],[],sci,"['fd341', 'fd371']"
320,fd486,physical and chemical properties of packaging materials manufacturing and forming process of packaging packaging material testing packaging technology packaging for food products packaging design and development shelf life evaluation of packed food food packaging business field trips,['disciplinary course(s): fd281'],[],sci,['fd281']
321,fd492,review topics in food science and technology literature reviews presentation and report writing,['disciplinary course(s): fd321 and fd342 and fd372  orapproved by department/instructor'],[],sci,"['fd321', 'fd342', 'fd372']"
322,fd493,proposal writing experimentation data analysis and interpretation result discussion and conclusion report writing and presentation,['disciplinary course(s): fd321 and fd342 and fd372 and fd391 and st338'],[],sci,"['fd321', 'fd342', 'fd372', 'fd391', 'st338']"
324,fin100,importance of food processing industry to country development relevance of food science and technology to food industry operations elements of the food industry; production quality control quality assurance research and development and other related in the food industry group activities and field trips,[],[],sci,[]
325,fin101,deep understanding of the problems figuring out the core problem brainstorming to generate ideas creation prototypes testing the prototype with target users design thinking for food innovation case study,[],[],sci,[]
326,fin300,microorganism important in food types of food spoilage microorganism and food borne pathogen and control source of contamination microorganisms used in food processing and in health food effects of food processing on microorganism standard and analysis of microorganisms in foods microbial utilization and its innovation for solving or developing food processing industries,['disciplinary course(s): bt201'],['consecutive course(s): fin462'],sci,"['bt201', 'in462']"
328,fin303,units and dimension mass and energy balance thermodynamics heat and mass transfer fluid mechanics in food industry application of engineering concept for food innovation development,['disciplinary course(s): cm236'],['consecutive course(s): fin304'],sci,"['cm236', 'in304']"
329,fin311,the structure and functional properties of food components: water proteins carbohydrates lipids vitamins minerals and pigments chemical and biochemical changes of food constituents during processing and storage including mechanism and prevention the application of functional properties of food components in innovative food product development or solving or developing food processing industries,['disciplinary course(s): cm227'],['consecutive course(s): fin312'],sci,"['cm227', 'in312']"
332,fin360,quality food sampling plan statistical techniques for food quality control quality control chart measurement of raw materials and food products quality sensory evaluation of food  practice in quality control in food factory,[],[],sci,[]
333,fin361,concept scope and roles of quality assurance through food supply chain good manufacturing practice (gmp) chemical physical and biological hazards hazard analysis and critical control point (haccp) food defense iso series quality management practice in quality assurance in food factory,[],[],sci,[]
334,fin362,sanitation aspects and roles in food safety approach as required by law in food manufacturing and handling of foods in food supply chain factors affecting microbial growth and controls concepts of cleaning and sanitizing cleaning and sanitizing compounds in food industry writing sanitation standard operating procedure (ssop) manual waste and wastewater management practice in quality assurance and /or quality control in food factory,[],[],sci,[]
335,fin363,principles of planting designplant layout to increase production efficiency and to meet gmp requirements production quality and inventory managementmaterial handling in food plantproduction planningbusiness ethics and social responsibility study and practice in production or planning department in food industry,[],[],sci,[]
336,fin364,importance of product development food product development process in accordance with target market and consumer needs generation and screening of new product ideas defining and testing product concept prototype development using appropriate formulating techniques processing and packaging product testing consumer testing and shelf life evaluation market testing and new product launching practice in research and development in food factory,[],[],sci,[]
337,fin366,role problem and method to solve logistics and supply chain management problems in food industry and economic effects supply chain management strategy and the application of information technology in logistics and supply chain management for food industry case studies practice in logistics of food industry,[],[],sci,[]
338,fin369,physical chemical and microbiological properties and changes of milk and milk constituents quality inspection of raw milk processing and quality evaluation of dairy products product deterioration and storage utilization of waste and by-products dairy business practice in food factory,[],[],sci,[]
339,fin377,structure and post-mortem changes of meat quality and grading of carcass carcass butchery utilization of meat parts and by-products equipment for meat processing principle of meat processing on an industrial scale and product quality evaluation meat product development business trends in meat processing industry practice in food factory,['disciplinary course(s): bt282'],[],sci,['bt282']
340,fin378,physical and chemical properties of ingredients and their functions in bakery products bakery processes deterioration of bakery products bakery business practice in food factory,[],[],sci,[]
341,fin380,role and importance of sensory evaluation in food industries sensory attribute and perception conducting a sensory test factors influencing sensory verdicts selection and training of sensory panelists sensory evaluation tests and guidelines for choice of test for a particular application statistical analysis for sensory evaluation guidelines for reporting sensory results field trip,[],[],sci,[]
342,ma112,analytic geometry for conic sections and second degree equations vectors transformation of coordinates polar coordinates and graph drawing functions of several variables partial derivatives multiple integrals scalar fields and vector fields derivative of vector valued functions integration in the vector fields gauss’s theorem green’s theorem and stokes’ theorem fourier and laplace analysis and theirs applications,['disciplinary course(s): ma111'],"['consecutive course(s): le343, ma213, ma214, ma313, ma316, ma317, ma351, st327']",sci,"['ma111', 'le343', 'ma213', 'ma214', 'ma313', 'ma316', 'ma317', 'ma351', 'st327']"
354,ma121,symbolic logic quantifiers methods of proof real number system properties of real numbers divisibility congruence least common multiple greatest common divisor prime numbers,['disciplinary course(s): ไม่นับหน่วยกิตให้ผู้ที่กำลังศึกษาหรือstอบได้ am.151'],"['consecutive course(s): ma221, ma311, ma332, ma334, ma337, ma338, ma366, ma368']",sci,"['am.151', 'ma221', 'ma311', 'ma332', 'ma334', 'ma337', 'ma338', 'ma366', 'ma368']"
355,ma131,theorems of matrices hermitian matrices and unitrary matrices lu-fractorizations vector spaces linear independence dimensions rank of matrices applications of matrices for solving systems of linear equations inverse of matrices determinant cramer’s rule linear transformations inner product spaces orthogonal complement and least square eigenvalues eigenvectors and its application diagonalization of matrices basic concepts of tensor,"['consecutive course(s): am321, am341, am446, ma346, ma351, me350, mma210, st466']",[],sci,"['am321', 'am341', 'am446', 'ma346', 'ma351', 'me350', 'ma210', 'st466']"
360,ma208,introduction to finance inflation deflation measures of money interest annuities installment debt depreciation depreciation formula vat personal income tax tax planning financial planning investing for retirement other interesting topics,[],[],sci,[]
362,ma209,limits and continuity of functions of several variables partial derivatives and the interpretation in geometry higher order partial derivatives implicit partial differentiation the chain rule total differentials and its applications maxima and minima of functions of two variables and its applications first and second order differential equations method for determining general solutions and particular solution of differential equations and the application in modeling of scientific problems matrices solution of system of linear equations eigenvalues eigenvectors systems of differential equations and its applications,['disciplinary course(s): ma218\nไม่นับหน่วยกิตให้ผู้ที่กาลังศึกษาหรือstอบได้ ma.219'],['consecutive course(s): ma318'],sci,"['ma218', 'ma.219', 'ma318']"
366,ma211,limits and continuous functions derivatives of algebraic and transcendental functions the chain rule implicit differentiation higher-order derivatives rolle’s theorem the mean-value theorem applications of the derivative indeterminate forms l’hospital’s rules and its application for finding the limits differentials and applications antiderivatives indefinite integrals formula of integration integration by change variables riemann sum definite integrals the fundamental theorem of calculus,['disciplinary course(s): ไม่นับหน่วยกิตให้ผู้ที่กำลังศึกษาหรือstอบได้ma.111 หรือ ma.216 หรือ ma.218 หรือ am.101'],"['consecutive course(s): ec311, ec320, ec325, ec425, ee311, ee320, ee325, ee425, ma212, st326']",sci,"['ma.111', 'ma.216', 'ma.218', 'am.101', 'ec311', 'ec320', 'ec325', 'ec425', 'ee311', 'ee320', 'ee325', 'ee425', 'ma212', 'st326']"
371,ma212,techniques of integration applications of the definite integrals in geometry and physics improper integrals and test for convergence functions of several variables 3-dimensional spaces and graph drawing limits and continuity of several variables functions partial derivatives sequences infinite series convergence tests for series power series maclaurin series taylor series,['disciplinary course(s): ma211'],"['consecutive course(s): ec421, ee421, ma213, ma313, ma351']",sci,"['ma211', 'ec421', 'ee421', 'ma213', 'ma313', 'ma351']"
373,ma213,polar coordinate system graphing in polar coordinates area in polar coordinates parametric equations derivatives in polar coordinates euclidean space vectors lines and planes in 3-dimensional spaces directional derivatives gradients applications of derivative of function of several variables total differential and its applications implicit functions theorem higher-order partial derivatives maximum and minimum of functions of several variables with unconstraint and constraint multiple integrals jacobian change of variables in multiple integrals cylindrical coordinates spherical coordinates line integrals surface integrals integral theorem,['disciplinary course(s): ma212 or\nma112 or\nma217 or\nma219'],"['consecutive course(s): am327, ma315, ma316, ma317, ma412, st226, st321']",sci,"['ma212', 'ma112', 'ma217', 'ma219', 'am327', 'ma315', 'ma316', 'ma317', 'ma412', 'st226', 'st321']"
374,ma216,limits and continuity of one variable functions derivatives of algebraic functions and transcendental functions implicit differentiation higher order derivatives roll’s theorem the mean value theorem applications of derivative for determining limits and maximum and minimum of functions differentials and its applications antiderivatives indefinite integrals and integration definite integrals and application of area solving functions of several variables limits and continuity of functions of several variables partial derivatives the chain rule total differential and its applications,"['consecutive course(s): ec311, ec320, ec325, ec425, ee311, ee320, ee325, ee425, ma217, st326']",[],sci,"['ec311', 'ec320', 'ec325', 'ec425', 'ee311', 'ee320', 'ee325', 'ee425', 'ma217', 'st326']"
378,ma218,limits and continuity of functions derivatives of algebraic functions and transcendental functions the chain rule derivative of implicit functions higher order derivatives roll’s theorem the mean valued theorem applications of derivative differential and its applications antiderivatives indefinite integrals techniques of integration definite integral and geometric and physical applications of integral infinite series note : there is no credit for students who are currently taking or have earned credits of ma111 or ma211 or ma216,['disciplinary course(s): หมายเหตุ : ไม่นับหน่วยกิตให้ผู้ที่กำลังศึกษาหรือstอบได้ ma.111 หรือ ma.211 หรือ ma.216 note : there is no credit for students who are currently taking or have earned credits of ma111 or ma211 or ma216'],"['consecutive course(s): bt231, ma219, ma286, np305, rt200, rt200, rt201, rt201, rt203, rt203, rt230, rt230, st346']",sci,"['ma.111', 'ma.211', 'ma.216', 'ma111', 'ma211', 'ma216', 'bt231', 'ma219', 'ma286', 'np305', 'rt200', 'rt200', 'rt201', 'rt201', 'rt203', 'rt203', 'rt230', 'rt230', 'st346']"
385,ma219,limits and continuity of functions derivatives of algebraic functions and transcendental functions the chain rule derivative of implicit functions higher order derivatives roll’s theorem the mean valued theorem applications of derivative differential and its applications antiderivatives indefinite integrals techniques of integration definite integral and geometric and physical applications of integral infinite series,['disciplinary course(s): ma218'],"['consecutive course(s): cm251, ma213, ma236, ma313, ma316, ma317, ma351, pc300, rt330, rt330']",sci,"['ma218', 'cm251', 'ma213', 'ma236', 'ma313', 'ma316', 'ma317', 'ma351', 'pc300', 'rt330', 'rt330']"
391,ma221,symbolic logic proof quantifiers proof of quantifier sentences mathematical induction sets properties and theorems on sets relations equivalence relations functions type of functions equivalence of sets finite sets infinite sets denumerable and nondenumerable sets elementary to number theory,"['consecutive course(s): am311, am457, ma327, ma331, ma336, ma337']",[],sci,"['am311', 'am457', 'ma327', 'ma331', 'ma336', 'ma337']"
392,ma251,numerical solutions of one variable equations polynomial interpolation numerical methods of differentiation and integration numerical solutions of ordinary differential equations draw examples in engineering problem solving error analysis numerical solutions of systems of linear equations (direct methods and iteration methods) numerical methods in determining eigenvalues and eigenvectors finite elements solving engineering problems by using numerical methods and mathematical package,['disciplinary course(s): ma214'],[],sci,['ma214']
394,ma313,first order differential equations theorems on linear differential equations second order linear differential equations differential equations with constant coefficients and variable coefficients higher order linear differential equations and its applications euler equations the laplace transform and its applications fourier series boundary value problems the convolution theorem linear systems of differential equations elementary partial differential equations note : there is no credit for students who are currently taking or have earned credits of ma214,['disciplinary course(s): ma112 or\nma212 or\nma217 or\nma219\nหมายเหตุ : ไม่นับหน่วยกิตให้ผู้ที่กำลังศึกษาหรือstอบได้ ma.214 note : there is no credit for students who are currently taking or have earned credits of ma214'],"['consecutive course(s): am316, am318, am436, am451, ma318, ma476']",sci,"['ma112', 'ma212', 'ma217', 'ma219', 'ma.214', 'ma214', 'am316', 'am318', 'am436', 'am451', 'ma318', 'ma476']"
396,ma331,groups and elementary properties of groups abelian groups groups of integers modulo n groups of permutations and symmetric groups subgroups and lagrange’s theorem cyclic groups normal subgroups and quotient groups homomorphisms and isomorphisms of groups rings and elementary properties of rings subrings integral domain ideals ring homomorphisms and ring isomorphisms fields and applications,['disciplinary course(s): ma221'],"['consecutive course(s): ma436, ma461']",sci,"['ma221', 'ma436', 'ma461']"
398,ma332,matrices algebra of matrices elementary operations and elementary matrices rank of a matrix determinants inverse of matrices system of linear equations and solutions cramer’s rule vector spaces bases and dimension of vector space linear transformation eigenvalues eigenvectors diagonalization of a matrices inner product spaces gram-schmidt process applications of linear algebra,"['consecutive course(s): am321, am341, am411, am446, ma346, ma351, ma391, ma447, ma456, st466']",[],sci,"['am321', 'am341', 'am411', 'am446', 'ma346', 'ma351', 'ma391', 'ma447', 'ma456', 'st466']"
400,ma336,elementary concepts green’s relations simple semigroups inverse semigroups and transformation semigroups,['disciplinary course(s): ma221'],[],sci,['ma221']
401,ma337,divisibility euclidean algorithm and consequences congruence with applications diophantine equations cryptology number-theoretic functions euler-phi function primitive roots quadratic residue continued fractions,['disciplinary course(s): ma221'],[],sci,['ma221']
402,ma338,introduction to coding theory linear codes hamming codes mds codes bounds in coding theory introduction to cryptography and rsa encryption,['disciplinary course(s): am200'],[],sci,['am200']
403,ma351,errors analysis solutions of nonlinear equations solutions of system of linear equations solutions of system of nonlinear equations interpolation function approximating and curve fitting numerical differentiation and integration numerical solutions of ordinary differential equations,['disciplinary course(s): ma212 and ma332 or\nma212 and parallel degree/ dual degree ma332 or\nma131 and ma212 or\nparallel degree/ dual degree ma131 and ma212 or\nma112 and ma332 or\nma112 and parallel degree/ dual degree ma332 or\nma112 and ma131 or\nma112 and parallel degree/ dual degree ma131 or\nma217 and ma332 or\nma217 and parallel degree/ dual degree ma332 or\nma131 and ma217 or\nparallel degree/ dual degree ma131 and ma217 or\nma219 and ma332 or\nma219 and parallel degree/ dual degree ma332 or\nma131 and ma219 or\nparallel degree/ dual degree ma131 and ma219 or\nam102 and ma332 or\nam102 and parallel degree/ dual degree ma332 or\nam102 and ma131 or\nam102 and parallel degree/ dual degree ma131\n1.stอบได้ ma.212 หรือ ma.112 หรือ ma.217 หรือ ma.219 หรือ am.102 2.เmaยศึกษาหรือศึกษาพร้อมกับ ma.332 หรือ ma.131'],"['consecutive course(s): am338, am436, ma381']",sci,"['ma212', 'ma332', 'ma212', 'ma332', 'ma131', 'ma212', 'ma131', 'ma212', 'ma112', 'ma332', 'ma112', 'ma332', 'ma112', 'ma131', 'ma112', 'ma131', 'ma217', 'ma332', 'ma217', 'ma332', 'ma131', 'ma217', 'ma131', 'ma217', 'ma219', 'ma332', 'ma219', 'ma332', 'ma131', 'ma219', 'ma131', 'ma219', 'am102', 'ma332', 'am102', 'ma332', 'am102', 'ma131', 'am102', 'ma131', 'ma.212', 'ma.112', 'ma.217', 'ma.219', 'am.102', 'ma.332', 'ma.131', 'am338', 'am436', 'ma381']"
404,ma381,computational techniques and programming in numerical methods use of some software packages to solve problems using numerical methods,['disciplinary course(s): ma351 or\nparallel degree/ dual degree ma351\nหรือได้รับอนุมัติจากผู้บรรยาย (วัดผลการศึกษาด้วยระดับ s หรือ u)'],[],sci,"['ma351', 'ma351']"
406,ma447,affine geometry and affine transformation euclidean geometry and transformation non–euclidean geometry,['disciplinary course(s): ma332'],[],sci,['ma332']
408,ma456,mathematical package programs using program tools in geometry and algebra geometry including calculus and differential equation implementation for graph drawing applications of mathematical package programs in related fields,['disciplinary course(s): cs103 and ma313 and ma332 or\ncs103 and ma313 and parallel degree/ dual degree ma332'],[],sci,"['cs103', 'ma313', 'ma332', 'cs103', 'ma313', 'ma332']"
409,mr200,types of materials bonding crystal structures symmetry lattice unit cell crystal systems atomic packing crystal planes miller indicies solidification crystalline imperfections diffusion in solids phase diagrams alloys ceramic materials composite materials corrosion electrical properties optical properties magnetic properties and textile technology,"['consecutive course(s): mr201, mr202, mr204, mr206, mr220, mr231, mr292, mr300, mr301, mr302, mr303, mr304, mr306, mr310, mr316, mr320, mr326, mr336, mr337, mr338, mr346, mr347, mr348, mr349, mr392, mr396, mr402, mr416, mr426, mr436, mr437, mr441, mr446, mr447, mr448, mr449, mr491, mr492, mr495']",[],sci,"['mr201', 'mr202', 'mr204', 'mr206', 'mr220', 'mr231', 'mr292', 'mr300', 'mr301', 'mr302', 'mr303', 'mr304', 'mr306', 'mr310', 'mr316', 'mr320', 'mr326', 'mr336', 'mr337', 'mr338', 'mr346', 'mr347', 'mr348', 'mr349', 'mr392', 'mr396', 'mr402', 'mr416', 'mr426', 'mr436', 'mr437', 'mr441', 'mr446', 'mr447', 'mr448', 'mr449', 'mr491', 'mr492', 'mr495']"
411,mr201,basic geometrical crystallography crystal structures crystal systems space lattice and symmetry point groups and space groups geometry of the reciprocal lattice dislocation grain boundaries point line and planar defects in metallic and ceramic crystal structures polymer structures effects of structure on physical and mechanical properties and experiment in crystallography,['disciplinary course(s): mr200'],[],sci,['mr200']
412,mr292,learning how to conduct the materials science project under the supervision of the academic staffs visiting factories in order to get an idea and motivation in material science career,['disciplinary course(s): mr200'],"['consecutive course(s): mr392, mr492']",sci,"['mr200', 'mr392', 'mr492']"
414,mr300,thermodynamics of phase transformations transformations from the vapour phase and the liquid phase glasses crystallisation of polymers liquid crystals single crystal growth polyphase solidification microstructure evolution in pure metals fired ceramics and polymers binary phase diagrams ternary phase diagrams phase composition solidification solid state transformation non-equilibrium transformation,['disciplinary course(s): mr200'],[],sci,['mr200']
415,mr302,optical and x-ray spectroscopy optical emission spectroscopy atomic absorption spectroscopy x-ray diffraction wet chemical analysis the characterizations of composition structure defects and surfaces by using techniques of microprobe scanning microscope sem and tem techniques used to characterize physical and chemical properties of polymers molecular weight determination viscosity thermal analysis mechanical and electrical properties’ determination and experiment in material charaterization,['disciplinary course(s): mr200'],[],sci,['mr200']
416,mr306,corrosion of metals electrochemical considerations corrosion rates passivity environmental effects form of corrosion corrosion prevention oxidation reaction corrosion of ceramic materials degradation of polymers swelling and dissolution bond and rupture weathering,['disciplinary course(s): mr200'],[],sci,['mr200']
417,mr320,heat capacity thermal expansion thermal conductivity of materials refractories testing types and properties of refractories,['disciplinary course(s): mr200'],[],sci,['mr200']
418,mr337,mechanical properties of polymeric materials polymer deformation and fracture stress strain and elongation determination electrical properties of polymers conductive and conducting polymers reinforced polymers polymer blends and composites multi-component polymers,['disciplinary course(s): mr200 and mr231'],[],sci,"['mr200', 'mr231']"
419,mr346,electric arc furnace (eaf) steelmaking high temperature slag/carbon interactions slag foaming practice reduction of iron oxides in slag high temperature liquid iron/carbon interactions dissolution of carbon into liquid iron interfacial phenomena between liquid iron and carbon reductions of cost and energy consumption and environmentally friendly novel research and technology in steelmaking process,['disciplinary course(s): mr200'],[],sci,['mr200']
420,mr348,basic principle characteristics structures preparation routes and applications in gas and molecules adsorption storage and separation of nanoporous zeolites activated carbon and metal-organic frameworks characterization of nanoporous materials by various analytical methods,['disciplinary course(s): mr200'],[],sci,['mr200']
421,mr392,preparation for the materials science project under the supervision of the academic staffs which may obtain an idea and motivation from the factory visit this can be developed to be the senior project in the 4th year,['disciplinary course(s): mr200 and mr292'],['consecutive course(s): mr492'],sci,"['mr200', 'mr292', 'mr492']"
422,mr402,behavior of electrons in solids electrical conductivity and resistivity of metals ionic conductivity superconductivity semiconductors dielectric properties insulators piezoelectrics electrostrictions ferroelectrics magnetic properties of materials domain structure hysterysis loop graphs of magnetization and field curie temperature ferrites ferromagnetic materials,['disciplinary course(s): mr200'],[],sci,['mr200']
423,mr426,science of powders colloids characterization powder production : natural raw materials calcination solid state reaction consolidation and shaping pressing extrusion slip casting injection molding drying and binder removal sintering sol-gel technology,['disciplinary course(s): mr200 and mr202'],[],sci,"['mr200', 'mr202']"
424,mr437,newtonian and non-newtonian fluids rheological properties of polymer simple shear flow and elongational flow viscoelastic properties melt-flow index factors affecting flow behaviors relationship between polymer structure and rheological properties instruments and methods used in rheology applications of rheology in polymer processing,['disciplinary course(s): mr200 and mr231'],[],sci,"['mr200', 'mr231']"
